rosbagTimestamp,layout,dim,data_offset,data
1549701836126676002,,[],0,"[100.04248046875, 1.371200680732727]"
1549701836126719228,,[],0,"[100.04248046875, 1.371200680732727]"
1549701836127318289,,[],0,"[100.04248046875, 1.371200680732727]"
1549701836128289427,,[],0,"[100.04248046875, 1.371200680732727]"
1549701836128698752,,[],0,"[100.04248046875, 1.371200680732727]"
1549701836128736932,,[],0,"[100.04248046875, 1.371200680732727]"
1549701836129227108,,[],0,"[100.04248046875, 1.3716859817504883]"
1549701836129454811,,[],0,"[100.04248046875, 1.3716859817504883]"
1549701836130085680,,[],0,"[100.04248046875, 1.3716859817504883]"
1549701836130661375,,[],0,"[100.04248046875, 1.3854361772537231]"
1549701836130760865,,[],0,"[100.04248046875, 1.3854361772537231]"
1549701836131400945,,[],0,"[100.04248046875, 1.3792890310287476]"
1549701836131774035,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132235079,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132253173,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132264311,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132275098,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132283194,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132309604,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132316339,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132327613,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132350696,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132683244,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132695982,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132708845,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132716006,,[],0,"[100.04248046875, 1.3771860599517822]"
1549701836132724346,,[],0,"[100.04248046875, 1.378641963005066]"
1549701836132732605,,[],0,"[100.04248046875, 1.3864067792892456]"
1549701836132746483,,[],0,"[100.20283508300781, 1.3935245275497437]"
1549701836132753352,,[],0,"[100.20283508300781, 1.3749213218688965]"
1549701836132962038,,[],0,"[100.20283508300781, 1.3749213218688965]"
1549701836133323181,,[],0,"[100.20283508300781, 1.371200680732727]"
1549701836133596973,,[],0,"[100.20283508300781, 1.371200680732727]"
1549701836133716888,,[],0,"[100.20283508300781, 1.3668330907821655]"
1549701836134203963,,[],0,"[100.20283508300781, 1.3668330907821655]"
1549701836134293854,,[],0,"[100.20283508300781, 1.3726565837860107]"
1549701836134625142,,[],0,"[100.20283508300781, 1.3878626823425293]"
1549701836136539440,,[],0,"[100.20283508300781, 1.3878626823425293]"
1549701836137295664,,[],0,"[100.20283508300781, 1.3707154989242554]"
1549701836137678832,,[],0,"[100.20283508300781, 1.3707154989242554]"
1549701836137759185,,[],0,"[100.20283508300781, 1.3707154989242554]"
1549701836137987428,,[],0,"[100.20283508300781, 1.3707154989242554]"
1549701836138331300,,[],0,"[100.20283508300781, 1.3707154989242554]"
1549701836138345385,,[],0,"[100.20283508300781, 1.3707154989242554]"
1549701836138628466,,[],0,"[100.20283508300781, 1.3754066228866577]"
1549701836138871593,,[],0,"[100.20283508300781, 1.3754066228866577]"
1549701836138882957,,[],0,"[100.20283508300781, 1.3676419258117676]"
1549701836139199741,,[],0,"[100.20283508300781, 1.3676419258117676]"
1549701836139357652,,[],0,"[100.20283508300781, 1.3854361772537231]"
1549701836139495739,,[],0,"[100.20283508300781, 1.3854361772537231]"
1549701836139512765,,[],0,"[100.20283508300781, 1.3854361772537231]"
1549701836139632511,,[],0,"[100.20283508300781, 1.3854361772537231]"
1549701836139906466,,[],0,"[100.20283508300781, 1.3854361772537231]"
1549701836139945882,,[],0,"[100.20283508300781, 1.3854361772537231]"
1549701836140105842,,[],0,"[100.04248046875, 1.3886715173721313]"
1549701836140397382,,[],0,"[100.04248046875, 1.3648918867111206]"
1549701836140706658,,[],0,"[100.04248046875, 1.3648918867111206]"
1549701836141081869,,[],0,"[100.04248046875, 1.3648918867111206]"
1549701836141206335,,[],0,"[100.04248046875, 1.3648918867111206]"
1549701836141369584,,[],0,"[100.04248046875, 1.3648918867111206]"
1549701836141627250,,[],0,"[100.04248046875, 1.3648918867111206]"
1549701836141978248,,[],0,"[100.04248046875, 1.3648918867111206]"
1549701836142360219,,[],0,"[100.04248046875, 1.3648918867111206]"
1549701836142770188,,[],0,"[100.04248046875, 1.3784801959991455]"
1549701836142784361,,[],0,"[100.04248046875, 1.3784801959991455]"
1549701836142892348,,[],0,"[100.04248046875, 1.3784801959991455]"
1549701836143116262,,[],0,"[100.04248046875, 1.3699066638946533]"
1549701836143272731,,[],0,"[100.04248046875, 1.3699066638946533]"
1549701836143287250,,[],0,"[100.04248046875, 1.3699066638946533]"
1549701836143393068,,[],0,"[100.04248046875, 1.3699066638946533]"
1549701836143799109,,[],0,"[100.04248046875, 1.3699066638946533]"
1549701836144351185,,[],0,"[100.04248046875, 1.3699066638946533]"
1549701836144444628,,[],0,"[100.04248046875, 1.3699066638946533]"
1549701836144698600,,[],0,"[100.04248046875, 1.3637595176696777]"
1549701836144873543,,[],0,"[100.04248046875, 1.3749213218688965]"
1549701836145047705,,[],0,"[100.04248046875, 1.3789654970169067]"
1549701836145204932,,[],0,"[100.04248046875, 1.3644065856933594]"
1549701836145422591,,[],0,"[100.04248046875, 1.3644065856933594]"
1549701836145537050,,[],0,"[100.04248046875, 1.3692595958709717]"
1549701836145626352,,[],0,"[100.04248046875, 1.3744360208511353]"
1549701836145786354,,[],0,"[100.04248046875, 1.3673183917999268]"
1549701836146021988,,[],0,"[100.04248046875, 1.3673183917999268]"
1549701836146152102,,[],0,"[100.04248046875, 1.3673183917999268]"
1549701836146633643,,[],0,"[100.04248046875, 1.3673183917999268]"
1549701836146772403,,[],0,"[100.04248046875, 1.3699066638946533]"
1549701836146858295,,[],0,"[100.04248046875, 1.3919068574905396]"
1549701836146928570,,[],0,"[100.04248046875, 1.3919068574905396]"
1549701836147398948,,[],0,"[100.04248046875, 1.3919068574905396]"
1549701836147603185,,[],0,"[100.04248046875, 1.3844655752182007]"
1549701836147624139,,[],0,"[100.04248046875, 1.3844655752182007]"
1549701836147634618,,[],0,"[100.04248046875, 1.3844655752182007]"
1549701836147641516,,[],0,"[100.04248046875, 1.3844655752182007]"
1549701836147647726,,[],0,"[100.04248046875, 1.3881862163543701]"
1549701836147655634,,[],0,"[100.04248046875, 1.3881862163543701]"
1549701836147978229,,[],0,"[100.04248046875, 1.3881862163543701]"
1549701836147987212,,[],0,"[100.04248046875, 1.3881862163543701]"
1549701836147991791,,[],0,"[100.04248046875, 1.3734654188156128]"
1549701836148000336,,[],0,"[100.04248046875, 1.3734654188156128]"
1549701836148008908,,[],0,"[99.92269897460938, 1.3734654188156128]"
1549701836148015156,,[],0,"[99.92269897460938, 1.3734654188156128]"
1549701836148019899,,[],0,"[99.92269897460938, 1.3791272640228271]"
1549701836148382272,,[],0,"[99.92269897460938, 1.3791272640228271]"
1549701836148448683,,[],0,"[99.92269897460938, 1.3791272640228271]"
1549701836148458015,,[],0,"[99.92269897460938, 1.3791272640228271]"
1549701836148463793,,[],0,"[99.92269897460938, 1.3744360208511353]"
1549701836148896221,,[],0,"[99.92269897460938, 1.3844655752182007]"
1549701836148912312,,[],0,"[99.92269897460938, 1.3844655752182007]"
1549701836148919696,,[],0,"[99.92269897460938, 1.3728183507919312]"
1549701836148926252,,[],0,"[99.92269897460938, 1.3728183507919312]"
1549701836148932741,,[],0,"[99.92269897460938, 1.3728183507919312]"
1549701836148939866,,[],0,"[99.92269897460938, 1.3828479051589966]"
1549701836148953529,,[],0,"[99.92269897460938, 1.3828479051589966]"
1549701836148972666,,[],0,"[99.92269897460938, 1.3836567401885986]"
1549701836149202091,,[],0,"[99.92269897460938, 1.3673183917999268]"
1549701836149216318,,[],0,"[99.92269897460938, 1.3673183917999268]"
1549701836149226439,,[],0,"[99.92269897460938, 1.3673183917999268]"
1549701836149240481,,[],0,"[99.92269897460938, 1.3726565837860107]"
1549701836149246568,,[],0,"[99.92269897460938, 1.3726565837860107]"
1549701836149252645,,[],0,"[99.92269897460938, 1.3721712827682495]"
1549701836149264235,,[],0,"[99.92269897460938, 1.3721712827682495]"
1549701836149270154,,[],0,"[99.92269897460938, 1.3721712827682495]"
1549701836149276595,,[],0,"[99.92269897460938, 1.3742742538452148]"
1549701836149285849,,[],0,"[99.92269897460938, 1.3742742538452148]"
1549701836149297222,,[],0,"[99.92269897460938, 1.3695831298828125]"
1549701836149320571,,[],0,"[99.92269897460938, 1.3695831298828125]"
1549701836149328747,,[],0,"[99.92269897460938, 1.3695831298828125]"
1549701836149333489,,[],0,"[99.92269897460938, 1.3695831298828125]"
1549701836149369169,,[],0,"[99.92269897460938, 1.3695831298828125]"
1549701836149381090,,[],0,"[99.92269897460938, 1.3744360208511353]"
1549701836149678280,,[],0,"[100.04248046875, 1.3781566619873047]"
1549701836149776249,,[],0,"[100.04248046875, 1.3781566619873047]"
1549701836149961358,,[],0,"[100.04248046875, 1.3663477897644043]"
1549701836150043643,,[],0,"[100.04248046875, 1.3663477897644043]"
1549701836150400120,,[],0,"[100.04248046875, 1.3663477897644043]"
1549701836150584476,,[],0,"[100.04248046875, 1.3788037300109863]"
1549701836151003257,,[],0,"[100.04248046875, 1.3788037300109863]"
1549701836151019829,,[],0,"[100.04248046875, 1.3788037300109863]"
1549701836151024862,,[],0,"[100.04248046875, 1.3788037300109863]"
1549701836151031298,,[],0,"[100.04248046875, 1.3749213218688965]"
1549701836151040185,,[],0,"[100.04248046875, 1.3749213218688965]"
1549701836151046222,,[],0,"[100.04248046875, 1.3749213218688965]"
1549701836151418713,,[],0,"[100.04248046875, 1.3749213218688965]"
1549701836151504843,,[],0,"[100.04248046875, 1.3781566619873047]"
1549701836151519040,,[],0,"[100.04248046875, 1.3781566619873047]"
1549701836151527657,,[],0,"[100.04248046875, 1.3781566619873047]"
1549701836151531969,,[],0,"[100.04248046875, 1.3781566619873047]"
1549701836151969146,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836152680523,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836152694869,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836152702690,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836152739840,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836152745581,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836153039626,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836153154236,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836153417556,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836153847356,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836153857975,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836154363984,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836154553904,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836154734228,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836154745663,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836154750536,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836154755149,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836154770770,,[],0,"[100.04248046875, 1.3724948167800903]"
1549701836155038222,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836155047373,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836155471421,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836155532787,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836155699428,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836155909699,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836156438612,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836156583686,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836156754747,,[],0,"[100.04248046875, 1.3676419258117676]"
1549701836156765168,,[],0,"[100.04248046875, 1.3779948949813843]"
1549701836156782440,,[],0,"[100.04248046875, 1.3779948949813843]"
1549701836157019371,,[],0,"[100.04248046875, 1.3779948949813843]"
1549701836157140850,,[],0,"[100.04248046875, 1.394818663597107]"
1549701836157234825,,[],0,"[100.04248046875, 1.394818663597107]"
1549701836157242095,,[],0,"[100.0830078125, 1.3624653816223145]"
1549701836157368634,,[],0,"[100.0830078125, 1.3624653816223145]"
1549701836157554357,,[],0,"[100.0830078125, 1.3600388765335083]"
1549701836157751771,,[],0,"[100.0830078125, 1.3600388765335083]"
1549701836157843824,,[],0,"[100.0830078125, 1.3558329343795776]"
1549701836158847970,,[],0,"[100.0830078125, 1.3710390329360962]"
1549701836158954631,,[],0,"[100.0830078125, 1.3710390329360962]"
1549701836159059914,,[],0,"[100.0830078125, 1.3710390329360962]"
1549701836159407341,,[],0,"[100.0830078125, 1.3710390329360962]"
1549701836160519499,,[],0,"[100.0830078125, 1.3710390329360962]"
1549701836160957846,,[],0,"[100.0830078125, 1.3710390329360962]"
1549701836160970003,,[],0,"[100.0830078125, 1.3699066638946533]"
1549701836162507505,,[],0,"[100.0830078125, 1.3699066638946533]"
1549701836162512590,,[],0,"[100.0830078125, 1.3699066638946533]"
1549701836162517573,,[],0,"[100.0830078125, 1.3708772659301758]"
1549701836162521407,,[],0,"[100.0830078125, 1.3708772659301758]"
1549701836162525128,,[],0,"[100.0830078125, 1.3708772659301758]"
1549701836162528921,,[],0,"[100.0830078125, 1.3708772659301758]"
1549701836162533507,,[],0,"[100.0830078125, 1.3708772659301758]"
1549701836162537422,,[],0,"[100.0830078125, 1.3708772659301758]"
1549701836162622562,,[],0,"[100.0830078125, 1.3708772659301758]"
1549701836162629071,,[],0,"[100.0830078125, 1.3568035364151]"
1549701836162633453,,[],0,"[100.0830078125, 1.3568035364151]"
1549701836162637395,,[],0,"[100.0830078125, 1.3568035364151]"
1549701836162641895,,[],0,"[100.0830078125, 1.3568035364151]"
1549701836162653100,,[],0,"[100.0830078125, 1.3763772249221802]"
1549701836162667376,,[],0,"[100.0830078125, 1.3768625259399414]"
1549701836162966540,,[],0,"[100.04248046875, 1.359553575515747]"
1549701836163318074,,[],0,"[100.04248046875, 1.359553575515747]"
1549701836163631868,,[],0,"[100.04248046875, 1.359553575515747]"
1549701836164385951,,[],0,"[100.04248046875, 1.3707154989242554]"
1549701836164455783,,[],0,"[100.04248046875, 1.3707154989242554]"
1549701836164573660,,[],0,"[100.04248046875, 1.3700684309005737]"
1549701836164589223,,[],0,"[100.04248046875, 1.3695831298828125]"
1549701836164596026,,[],0,"[100.04248046875, 1.3695831298828125]"
1549701836164701439,,[],0,"[100.04248046875, 1.3639212846755981]"
1549701836164807442,,[],0,"[100.04248046875, 1.3513034582138062]"
1549701836164953292,,[],0,"[100.04248046875, 1.3513034582138062]"
1549701836165197516,,[],0,"[100.04248046875, 1.3513034582138062]"
1549701836165286397,,[],0,"[100.04248046875, 1.3703919649124146]"
1549701836165441337,,[],0,"[100.04248046875, 1.3703919649124146]"
1549701836165454198,,[],0,"[100.04248046875, 1.361494779586792]"
1549701836165459330,,[],0,"[100.04248046875, 1.3765389919281006]"
1549701836165463579,,[],0,"[100.04248046875, 1.3765389919281006]"
1549701836165468254,,[],0,"[100.04248046875, 1.3765389919281006]"
1549701836165768600,,[],0,"[100.04248046875, 1.3684507608413696]"
1549701836165952468,,[],0,"[100.04248046875, 1.3684507608413696]"
1549701836166287466,,[],0,"[100.04248046875, 1.3684507608413696]"
1549701836166406015,,[],0,"[100.04248046875, 1.3684507608413696]"
1549701836166472681,,[],0,"[100.04248046875, 1.3661860227584839]"
1549701836166819402,,[],0,"[100.04248046875, 1.3661860227584839]"
1549701836166832241,,[],0,"[100.04248046875, 1.3661860227584839]"
1549701836167048018,,[],0,"[100.04248046875, 1.3661860227584839]"
1549701836167060628,,[],0,"[100.04248046875, 1.3611712455749512]"
1549701836167139829,,[],0,"[100.04248046875, 1.3611712455749512]"
1549701836167154070,,[],0,"[100.04248046875, 1.3611712455749512]"
1549701836167281563,,[],0,"[100.04248046875, 1.36068594455719]"
1549701836167482414,,[],0,"[100.04248046875, 1.36068594455719]"
1549701836167921323,,[],0,"[100.04248046875, 1.36068594455719]"
1549701836169639742,,[],0,"[100.04248046875, 1.36068594455719]"
1549701836169909661,,[],0,"[100.04248046875, 1.3674801588058472]"
1549701836170167583,,[],0,"[100.04248046875, 1.3674801588058472]"
1549701836170176709,,[],0,"[100.04248046875, 1.3715242147445679]"
1549701836170712165,,[],0,"[100.04248046875, 1.3715242147445679]"
1549701836170731355,,[],0,"[100.04248046875, 1.3715242147445679]"
1549701836170738934,,[],0,"[100.04248046875, 1.3715242147445679]"
1549701836170743373,,[],0,"[100.04248046875, 1.3715242147445679]"
1549701836170754383,,[],0,"[100.04248046875, 1.3715242147445679]"
1549701836170758211,,[],0,"[100.04248046875, 1.3715242147445679]"
1549701836170901459,,[],0,"[100.20283508300781, 1.3715242147445679]"
1549701836170911501,,[],0,"[100.20283508300781, 1.3715242147445679]"
1549701836170916960,,[],0,"[100.20283508300781, 1.3715242147445679]"
1549701836170922443,,[],0,"[100.20283508300781, 1.3715242147445679]"
1549701836170927011,,[],0,"[100.20283508300781, 1.3715242147445679]"
1549701836170932399,,[],0,"[100.20283508300781, 1.3715242147445679]"
1549701836171103137,,[],0,"[100.20283508300781, 1.3733036518096924]"
1549701836171296998,,[],0,"[100.20283508300781, 1.3733036518096924]"
1549701836171344439,,[],0,"[100.20283508300781, 1.3733036518096924]"
1549701836171542797,,[],0,"[100.20283508300781, 1.3733036518096924]"
1549701836171716568,,[],0,"[100.20283508300781, 1.365053653717041]"
1549701836171726079,,[],0,"[100.20283508300781, 1.365053653717041]"
1549701836171986639,,[],0,"[100.20283508300781, 1.3597153425216675]"
1549701836172311138,,[],0,"[100.20283508300781, 1.3597153425216675]"
1549701836172661091,,[],0,"[100.20283508300781, 1.3597153425216675]"
1549701836172746854,,[],0,"[100.20283508300781, 1.3597153425216675]"
1549701836172754254,,[],0,"[100.20283508300781, 1.3590682744979858]"
1549701836172971991,,[],0,"[100.20283508300781, 1.3511416912078857]"
1549701836172980496,,[],0,"[100.20283508300781, 1.3537299633026123]"
1549701836173289398,,[],0,"[100.20283508300781, 1.3537299633026123]"
1549701836173518859,,[],0,"[100.20283508300781, 1.3537299633026123]"
1549701836173883687,,[],0,"[100.20283508300781, 1.3537299633026123]"
1549701836174088753,,[],0,"[100.20283508300781, 1.3542152643203735]"
1549701836174264473,,[],0,"[100.20283508300781, 1.3542152643203735]"
1549701836174685377,,[],0,"[100.20283508300781, 1.3422445058822632]"
1549701836174885488,,[],0,"[100.20283508300781, 1.3422445058822632]"
1549701836175682534,,[],0,"[100.20283508300781, 1.3603624105453491]"
1549701836177533204,,[],0,"[100.20283508300781, 1.3603624105453491]"
1549701836177591394,,[],0,"[100.20283508300781, 1.3459651470184326]"
1549701836177778755,,[],0,"[100.20283508300781, 1.3459651470184326]"
1549701836178024358,,[],0,"[100.20283508300781, 1.3597153425216675]"
1549701836178177925,,[],0,"[100.20283508300781, 1.3597153425216675]"
1549701836178271892,,[],0,"[100.20283508300781, 1.3597153425216675]"
1549701836178623726,,[],0,"[100.20283508300781, 1.3682889938354492]"
1549701836178783246,,[],0,"[100.20283508300781, 1.3682889938354492]"
1549701836178871629,,[],0,"[100.20283508300781, 1.3610094785690308]"
1549701836178881658,,[],0,"[100.20283508300781, 1.3610094785690308]"
1549701836178886937,,[],0,"[100.20283508300781, 1.3702301979064941]"
1549701836178891939,,[],0,"[100.20283508300781, 1.3702301979064941]"
1549701836178896551,,[],0,"[100.20283508300781, 1.3702301979064941]"
1549701836178985798,,[],0,"[100.20283508300781, 1.3702301979064941]"
1549701836178994355,,[],0,"[100.20283508300781, 1.3702301979064941]"
1549701836179000426,,[],0,"[100.20283508300781, 1.3702301979064941]"
1549701836179019888,,[],0,"[100.20283508300781, 1.357127070426941]"
1549701836179024719,,[],0,"[100.20283508300781, 1.357127070426941]"
1549701836179056004,,[],0,"[100.20283508300781, 1.357127070426941]"
1549701836179063402,,[],0,"[100.20283508300781, 1.357127070426941]"
1549701836179069638,,[],0,"[100.20283508300781, 1.3487151861190796]"
1549701836179074939,,[],0,"[100.20283508300781, 1.3487151861190796]"
1549701836179154308,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179158887,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179162428,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179275009,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179284510,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179291080,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179320024,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179328205,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179334599,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179340952,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179345864,,[],0,"[100.20283508300781, 1.346935749053955]"
1549701836179351446,,[],0,"[100.16224670410156, 1.355994701385498]"
1549701836179385513,,[],0,"[100.16224670410156, 1.355994701385498]"
1549701836179395025,,[],0,"[100.16224670410156, 1.342568039894104]"
1549701836179429568,,[],0,"[100.16224670410156, 1.354377031326294]"
1549701836179447086,,[],0,"[100.16224670410156, 1.354377031326294]"
1549701836179697775,,[],0,"[100.16224670410156, 1.3412739038467407]"
1549701836179705609,,[],0,"[100.16224670410156, 1.3412739038467407]"
1549701836179711135,,[],0,"[100.16224670410156, 1.3412739038467407]"
1549701836179718603,,[],0,"[100.16224670410156, 1.3412739038467407]"
1549701836179724551,,[],0,"[100.16224670410156, 1.3412739038467407]"
1549701836180725092,,[],0,"[100.16224670410156, 1.3412739038467407]"
1549701836180737152,,[],0,"[100.16224670410156, 1.3412739038467407]"
1549701836181006990,,[],0,"[100.16224670410156, 1.3412739038467407]"
1549701836181214600,,[],0,"[100.16224670410156, 1.3584212064743042]"
1549701836181567508,,[],0,"[100.16224670410156, 1.3584212064743042]"
1549701836181610249,,[],0,"[100.16224670410156, 1.3584212064743042]"
1549701836181802317,,[],0,"[100.16224670410156, 1.3600388765335083]"
1549701836181977604,,[],0,"[100.16224670410156, 1.3600388765335083]"
1549701836182170175,,[],0,"[100.16224670410156, 1.3501710891723633]"
1549701836182253866,,[],0,"[100.16224670410156, 1.3501710891723633]"
1549701836182266239,,[],0,"[100.16224670410156, 1.3312444686889648]"
1549701836182273654,,[],0,"[100.16224670410156, 1.3312444686889648]"
1549701836182279915,,[],0,"[100.16224670410156, 1.3555094003677368]"
1549701836182493423,,[],0,"[100.0830078125, 1.3555094003677368]"
1549701836182584024,,[],0,"[100.0830078125, 1.3500093221664429]"
1549701836182803983,,[],0,"[100.0830078125, 1.3511416912078857]"
1549701836183166590,,[],0,"[100.0830078125, 1.3511416912078857]"
1549701836183188565,,[],0,"[100.0830078125, 1.343376874923706]"
1549701836183653169,,[],0,"[100.0830078125, 1.343376874923706]"
1549701836183949933,,[],0,"[100.0830078125, 1.3456416130065918]"
1549701836184044919,,[],0,"[100.0830078125, 1.3456416130065918]"
1549701836184219767,,[],0,"[100.0830078125, 1.3542152643203735]"
