rosbagTimestamp,layout,dim,data_offset,data
1549701561007340759,,[],0,"[99.80125427246094, 1.1994048357009888]"
1549701561007845118,,[],0,"[99.80125427246094, 1.1953606605529785]"
1549701561009148113,,[],0,"[99.80125427246094, 1.1953606605529785]"
1549701561010187124,,[],0,"[99.80125427246094, 1.1806398630142212]"
1549701561010419437,,[],0,"[99.80125427246094, 1.1806398630142212]"
1549701561010830265,,[],0,"[99.80125427246094, 1.1806398630142212]"
1549701561010842806,,[],0,"[99.76077270507812, 1.1968165636062622]"
1549701561011032918,,[],0,"[99.76077270507812, 1.190831184387207]"
1549701561011311454,,[],0,"[99.76077270507812, 1.190831184387207]"
1549701561011330961,,[],0,"[99.76077270507812, 1.190831184387207]"
1549701561011336031,,[],0,"[99.76077270507812, 1.190831184387207]"
1549701561011342280,,[],0,"[99.76077270507812, 1.190831184387207]"
1549701561011349437,,[],0,"[99.76077270507812, 1.190831184387207]"
1549701561011354116,,[],0,"[99.76077270507812, 1.1994048357009888]"
1549701561011759708,,[],0,"[99.76077270507812, 1.187272310256958]"
1549701561012002435,,[],0,"[99.76077270507812, 1.1858164072036743]"
1549701561012291261,,[],0,"[99.76077270507812, 1.1858164072036743]"
1549701561012564435,,[],0,"[99.76077270507812, 1.1974636316299438]"
1549701561012865501,,[],0,"[99.76077270507812, 1.2031254768371582]"
1549701561013219932,,[],0,"[99.76077270507812, 1.1893752813339233]"
1549701561013425276,,[],0,"[99.76077270507812, 1.1893752813339233]"
1549701561014162394,,[],0,"[99.76077270507812, 1.1893752813339233]"
1549701561014462181,,[],0,"[99.76077270507812, 1.194390058517456]"
1549701561014484873,,[],0,"[99.76077270507812, 1.1922870874404907]"
1549701561014635584,,[],0,"[99.76077270507812, 1.1948753595352173]"
1549701561015117382,,[],0,"[99.76077270507812, 1.1973018646240234]"
1549701561015132213,,[],0,"[99.76077270507812, 1.1973018646240234]"
1549701561015593931,,[],0,"[99.76077270507812, 1.1968165636062622]"
1549701561015609755,,[],0,"[99.76077270507812, 1.1968165636062622]"
1549701561015848672,,[],0,"[99.76077270507812, 1.195522427558899]"
1549701561016247424,,[],0,"[99.76077270507812, 1.195522427558899]"
1549701561016332728,,[],0,"[99.76077270507812, 1.1929341554641724]"
1549701561016448404,,[],0,"[99.76077270507812, 1.1929341554641724]"
1549701561016541283,,[],0,"[99.76077270507812, 1.1929341554641724]"
1549701561016872321,,[],0,"[99.76077270507812, 1.1995666027069092]"
1549701561017258407,,[],0,"[99.76077270507812, 1.1995666027069092]"
1549701561017280077,,[],0,"[99.76077270507812, 1.1995666027069092]"
1549701561017719085,,[],0,"[99.76077270507812, 1.1995666027069092]"
1549701561018569687,,[],0,"[99.76077270507812, 1.1995666027069092]"
1549701561018582185,,[],0,"[99.76077270507812, 1.1995666027069092]"
1549701561018587480,,[],0,"[99.80125427246094, 1.1956841945648193]"
1549701561018593134,,[],0,"[99.80125427246094, 1.1956841945648193]"
1549701561018607987,,[],0,"[99.80125427246094, 1.1887282133102417]"
1549701561018624764,,[],0,"[99.80125427246094, 1.1887282133102417]"
1549701561018641049,,[],0,"[99.80125427246094, 1.1887282133102417]"
1549701561018721536,,[],0,"[99.80125427246094, 1.1887282133102417]"
1549701561019236229,,[],0,"[99.80125427246094, 1.1887282133102417]"
1549701561019518718,,[],0,"[99.80125427246094, 1.1867870092391968]"
1549701561020148063,,[],0,"[99.80125427246094, 1.1867870092391968]"
1549701561020710819,,[],0,"[99.80125427246094, 1.1903458833694458]"
1549701561020846850,,[],0,"[99.80125427246094, 1.1903458833694458]"
1549701561020866864,,[],0,"[99.80125427246094, 1.1903458833694458]"
1549701561020871998,,[],0,"[99.80125427246094, 1.1903458833694458]"
1549701561020877828,,[],0,"[99.80125427246094, 1.1903458833694458]"
1549701561021244475,,[],0,"[99.80125427246094, 1.1929341554641724]"
1549701561021807967,,[],0,"[99.80125427246094, 1.1893752813339233]"
1549701561021832112,,[],0,"[99.80125427246094, 1.1924488544464111]"
1549701561021837148,,[],0,"[99.80125427246094, 1.1924488544464111]"
1549701561022110881,,[],0,"[99.92088317871094, 1.1924488544464111]"
1549701561023089495,,[],0,"[99.92088317871094, 1.1924488544464111]"
1549701561023417768,,[],0,"[99.92088317871094, 1.1922870874404907]"
1549701561025672069,,[],0,"[99.92088317871094, 1.1922870874404907]"
1549701561025686212,,[],0,"[99.92088317871094, 1.18808114528656]"
1549701561025694416,,[],0,"[99.92088317871094, 1.177566409111023]"
1549701561025714501,,[],0,"[99.92088317871094, 1.181772232055664]"
1549701561025722370,,[],0,"[99.92088317871094, 1.181772232055664]"
1549701561025732301,,[],0,"[99.92088317871094, 1.181772232055664]"
1549701561025738481,,[],0,"[99.92088317871094, 1.181772232055664]"
1549701561025748258,,[],0,"[99.92088317871094, 1.181772232055664]"
