rosbagTimestamp,layout,dim,data_offset,data
1549702242918681328,,[],0,"[101.52093505859375, 1.4829813241958618]"
1549702242919264125,,[],0,"[101.40110778808594, 1.394818663597107]"
1549702242920380698,,[],0,"[101.40110778808594, 1.394818663597107]"
1549702242920735320,,[],0,"[101.40110778808594, 1.4427014589309692]"
1549702242920914465,,[],0,"[101.40110778808594, 1.4577457904815674]"
1549702242920987155,,[],0,"[101.40110778808594, 1.4082452058792114]"
1549702242921158143,,[],0,"[101.40110778808594, 1.4082452058792114]"
1549702242921317362,,[],0,"[101.40110778808594, 1.4082452058792114]"
1549702242921400594,,[],0,"[101.40110778808594, 1.4082452058792114]"
1549702242921481964,,[],0,"[101.40110778808594, 1.4237748384475708]"
1549702242921530821,,[],0,"[101.40110778808594, 1.434127926826477]"
1549702242921546461,,[],0,"[101.40110778808594, 1.434127926826477]"
1549702242921742442,,[],0,"[101.40110778808594, 1.4370397329330444]"
1549702242922492746,,[],0,"[101.40110778808594, 1.4370397329330444]"
1549702242923230030,,[],0,"[101.40110778808594, 1.417951226234436]"
1549702242924290363,,[],0,"[101.40110778808594, 1.5108051300048828]"
1549702242924676073,,[],0,"[101.40110778808594, 1.5108051300048828]"
1549702242924697492,,[],0,"[101.40110778808594, 1.4174659252166748]"
1549702242925117243,,[],0,"[101.40110778808594, 1.4174659252166748]"
1549702242925168529,,[],0,"[101.40110778808594, 1.4362308979034424]"
1549702242925567693,,[],0,"[101.44219207763672, 1.4362308979034424]"
1549702242925691300,,[],0,"[101.44219207763672, 1.4362308979034424]"
1549702242925707539,,[],0,"[101.44219207763672, 1.4362308979034424]"
1549702242925817061,,[],0,"[101.44219207763672, 1.4362308979034424]"
1549702242925893115,,[],0,"[101.44219207763672, 1.460334062576294]"
1549702242925990586,,[],0,"[101.44219207763672, 1.460334062576294]"
1549702242926111869,,[],0,"[101.44219207763672, 1.460334062576294]"
1549702242926664011,,[],0,"[101.44219207763672, 1.460334062576294]"
1549702242926682073,,[],0,"[101.44219207763672, 1.460334062576294]"
1549702242926699088,,[],0,"[101.44219207763672, 1.460334062576294]"
1549702242926920958,,[],0,"[101.44219207763672, 1.4177894592285156]"
1549702242927072130,,[],0,"[101.44219207763672, 1.4177894592285156]"
1549702242927087881,,[],0,"[101.44219207763672, 1.484275460243225]"
1549702242927590582,,[],0,"[101.44219207763672, 1.484275460243225]"
1549702242927664660,,[],0,"[101.44219207763672, 1.484275460243225]"
1549702242927940021,,[],0,"[101.44219207763672, 1.536526083946228]"
1549702242928018260,,[],0,"[101.44219207763672, 1.536526083946228]"
1549702242928199163,,[],0,"[101.44219207763672, 1.4570987224578857]"
1549702242928310396,,[],0,"[101.44219207763672, 1.5101580619812012]"
1549702242928470942,,[],0,"[101.44219207763672, 1.5101580619812012]"
1549702242928482685,,[],0,"[101.44219207763672, 1.3883479833602905]"
1549702242928633218,,[],0,"[101.44219207763672, 1.348068118095398]"
1549702242929051950,,[],0,"[101.44219207763672, 1.348068118095398]"
1549702242929415245,,[],0,"[101.44219207763672, 1.355185866355896]"
1549702242929428718,,[],0,"[101.44219207763672, 1.355185866355896]"
1549702242929607153,,[],0,"[101.44219207763672, 1.3763772249221802]"
1549702242929708804,,[],0,"[101.44219207763672, 1.3763772249221802]"
1549702242929727946,,[],0,"[101.44219207763672, 1.3763772249221802]"
1549702242929735850,,[],0,"[101.44219207763672, 1.3763772249221802]"
1549702242929901062,,[],0,"[101.44219207763672, 1.4506280422210693]"
1549702242930201442,,[],0,"[101.44219207763672, 1.7345281839370728]"
1549702242930579913,,[],0,"[101.44219207763672, 1.3179795742034912]"
1549702242930736751,,[],0,"[101.44219207763672, 1.3179795742034912]"
1549702242930813338,,[],0,"[101.44219207763672, 1.3179795742034912]"
1549702242930992388,,[],0,"[101.44219207763672, 1.4645400047302246]"
1549702242931329168,,[],0,"[101.40110778808594, 1.4645400047302246]"
1549702242931573310,,[],0,"[101.40110778808594, 1.946118712425232]"
1549702242931878503,,[],0,"[101.40110778808594, 1.946118712425232]"
1549702242932134992,,[],0,"[101.40110778808594, 1.946118712425232]"
1549702242932401495,,[],0,"[101.40110778808594, 1.946118712425232]"
1549702242933051026,,[],0,"[101.40110778808594, 1.7900140285491943]"
1549702242933164163,,[],0,"[101.40110778808594, 0.9187401533126831]"
1549702242933183868,,[],0,"[101.40110778808594, 0.9187401533126831]"
1549702242933214963,,[],0,"[101.40110778808594, 0.9187401533126831]"
1549702242933226816,,[],0,"[101.40110778808594, 0.9187401533126831]"
1549702242933253159,,[],0,"[101.40110778808594, 0.9187401533126831]"
1549702242933400937,,[],0,"[101.40110778808594, 0.9797260761260986]"
1549702242933843522,,[],0,"[101.40110778808594, 1.1542719602584839]"
1549702242933960031,,[],0,"[101.40110778808594, 1.1542719602584839]"
1549702242934065684,,[],0,"[101.40110778808594, 1.1542719602584839]"
1549702242934197400,,[],0,"[101.40110778808594, 1.4538633823394775]"
1549702242934206839,,[],0,"[101.40110778808594, 1.528599500656128]"
1549702242934388903,,[],0,"[101.40110778808594, 1.528599500656128]"
1549702242934591478,,[],0,"[101.40110778808594, 1.422318935394287]"
1549702242934607667,,[],0,"[101.40110778808594, 1.48621666431427]"
1549702242934614229,,[],0,"[101.40110778808594, 1.48621666431427]"
1549702242935184089,,[],0,"[101.40110778808594, 1.5072462558746338]"
1549702242935291518,,[],0,"[101.40110778808594, 1.5072462558746338]"
1549702242935587275,,[],0,"[101.40110778808594, 1.4876725673675537]"
1549702242936080136,,[],0,"[101.40110778808594, 1.3940098285675049]"
1549702242936412616,,[],0,"[101.40110778808594, 1.3940098285675049]"
1549702242936521308,,[],0,"[101.40110778808594, 1.4928491115570068]"
1549702242936534617,,[],0,"[101.40110778808594, 1.4928491115570068]"
1549702242936637275,,[],0,"[101.40110778808594, 1.4928491115570068]"
1549702242936680313,,[],0,"[101.40110778808594, 1.5638645887374878]"
1549702242936803291,,[],0,"[101.40110778808594, 1.6214534044265747]"
1549702242937032926,,[],0,"[101.40110778808594, 1.6214534044265747]"
1549702242937164171,,[],0,"[101.40110778808594, 1.43526029586792]"
1549702242937303210,,[],0,"[101.40110778808594, 1.43526029586792]"
1549702242937722495,,[],0,"[101.40110778808594, 1.3503328561782837]"
