rosbagTimestamp,layout,dim,data_offset,data
1549701722371580771,,[],0,"[100.04248046875, 1.5802029371261597]"
1549701722371603843,,[],0,"[100.04248046875, 1.5802029371261597]"
1549701722371882336,,[],0,"[100.04248046875, 1.5802029371261597]"
1549701722372283277,,[],0,"[100.04248046875, 1.5722763538360596]"
1549701722372529082,,[],0,"[100.04248046875, 1.5722763538360596]"
1549701722372713291,,[],0,"[100.12167358398438, 1.5722763538360596]"
1549701722372748545,,[],0,"[100.12167358398438, 1.5722763538360596]"
1549701722372901531,,[],0,"[100.12167358398438, 1.5722763538360596]"
1549701722373109655,,[],0,"[100.12167358398438, 1.5722763538360596]"
1549701722373314289,,[],0,"[100.12167358398438, 1.5722763538360596]"
1549701722373328716,,[],0,"[100.12167358398438, 1.5734087228775024]"
1549701722373347597,,[],0,"[100.12167358398438, 1.5734087228775024]"
1549701722373486364,,[],0,"[100.12167358398438, 1.5734087228775024]"
1549701722373787416,,[],0,"[100.12167358398438, 1.575188159942627]"
1549701722373811426,,[],0,"[100.12167358398438, 1.5784235000610352]"
1549701722373947457,,[],0,"[100.12167358398438, 1.5784235000610352]"
1549701722373962054,,[],0,"[100.12167358398438, 1.5784235000610352]"
1549701722373976854,,[],0,"[100.12167358398438, 1.5675852298736572]"
1549701722373986839,,[],0,"[100.12167358398438, 1.5675852298736572]"
1549701722374142246,,[],0,"[100.12167358398438, 1.5730851888656616]"
1549701722374406313,,[],0,"[100.12167358398438, 1.5730851888656616]"
1549701722374611491,,[],0,"[100.12167358398438, 1.5641881227493286]"
1549701722374903041,,[],0,"[100.12167358398438, 1.5641881227493286]"
1549701722375085491,,[],0,"[100.12167358398438, 1.5646734237670898]"
1549701722377147730,,[],0,"[100.12167358398438, 1.5646734237670898]"
1549701722377327872,,[],0,"[100.12167358398438, 1.5646734237670898]"
1549701722377566475,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377758533,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377776624,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377786155,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377801314,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377816093,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377824126,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377893437,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377913968,,[],0,"[100.12167358398438, 1.5661293268203735]"
1549701722377949240,,[],0,"[100.08109283447266, 1.574379324913025]"
1549701722377958726,,[],0,"[100.08109283447266, 1.574379324913025]"
1549701722378405525,,[],0,"[100.08109283447266, 1.565482258796692]"
1549701722378530167,,[],0,"[100.08109283447266, 1.565482258796692]"
1549701722379279228,,[],0,"[100.08109283447266, 1.5692028999328613]"
1549701722381012928,,[],0,"[100.08109283447266, 1.5692028999328613]"
1549701722381467992,,[],0,"[100.08109283447266, 1.5590115785598755]"
1549701722381558363,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381592870,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381602515,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381661207,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381676272,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381683727,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381692725,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381698676,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381806666,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381814465,,[],0,"[100.08109283447266, 1.548173189163208]"
1549701722381833007,,[],0,"[100.08109283447266, 1.5530261993408203]"
1549701722382156609,,[],0,"[100.08109283447266, 1.545423150062561]"
1549701722382360795,,[],0,"[100.08109283447266, 1.5829529762268066]"
1549701722382580652,,[],0,"[100.08109283447266, 1.5614380836486816]"
1549701722382719674,,[],0,"[100.08109283447266, 1.5614380836486816]"
1549701722383614056,,[],0,"[100.08109283447266, 1.551732063293457]"
1549701722383634584,,[],0,"[100.08109283447266, 1.551732063293457]"
1549701722383817711,,[],0,"[100.12167358398438, 1.5557762384414673]"
1549701722383936915,,[],0,"[100.12167358398438, 1.5557762384414673]"
1549701722384154920,,[],0,"[100.12167358398438, 1.5557762384414673]"
1549701722384455882,,[],0,"[100.12167358398438, 1.5557762384414673]"
1549701722384528217,,[],0,"[100.12167358398438, 1.5557762384414673]"
1549701722384792737,,[],0,"[100.12167358398438, 1.5604674816131592]"
1549701722385095391,,[],0,"[100.12167358398438, 1.5604674816131592]"
1549701722387021532,,[],0,"[100.12167358398438, 1.5570703744888306]"
1549701722387036883,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387082728,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387098422,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387107770,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387115925,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387122616,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387140337,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387154676,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387162652,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387171394,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722387178343,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722388005907,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722388022013,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722388026759,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722388108980,,[],0,"[100.12167358398438, 1.548173189163208]"
1549701722388123262,,[],0,"[100.12167358398438, 1.54105544090271]"
1549701722388267620,,[],0,"[100.12167358398438, 1.54105544090271]"
1549701722389034122,,[],0,"[100.12167358398438, 1.54105544090271]"
1549701722389379136,,[],0,"[100.12167358398438, 1.5502761602401733]"
1549701722389609645,,[],0,"[100.12167358398438, 1.5502761602401733]"
1549701722389908938,,[],0,"[100.12167358398438, 1.5502761602401733]"
1549701722389923984,,[],0,"[100.12167358398438, 1.5562615394592285]"
1549701722390305682,,[],0,"[100.12167358398438, 1.5543203353881836]"
1549701722390453962,,[],0,"[100.12167358398438, 1.5543203353881836]"
1549701722390926297,,[],0,"[100.12167358398438, 1.579555869102478]"
1549701722391055893,,[],0,"[100.12167358398438, 1.579555869102478]"
1549701722391386394,,[],0,"[100.12167358398438, 1.5672616958618164]"
1549701722391596600,,[],0,"[100.12167358398438, 1.5790705680847168]"
1549701722392751645,,[],0,"[100.12167358398438, 1.5861883163452148]"
1549701722392765597,,[],0,"[100.12167358398438, 1.5861883163452148]"
1549701722392771650,,[],0,"[100.12167358398438, 1.583923578262329]"
1549701722392792580,,[],0,"[100.12167358398438, 1.583923578262329]"
1549701722392842301,,[],0,"[100.12167358398438, 1.5565850734710693]"
1549701722392849890,,[],0,"[100.12167358398438, 1.5565850734710693]"
