rosbagTimestamp,layout,dim,data_offset,data
1549701817732860499,,[],0,"[100.00194549560547, 1.365053653717041]"
1549701817734342729,,[],0,"[100.00194549560547, 1.365053653717041]"
1549701817734910379,,[],0,"[100.00194549560547, 1.3728183507919312]"
1549701817737426625,,[],0,"[100.00194549560547, 1.3728183507919312]"
1549701817738260634,,[],0,"[100.00194549560547, 1.3728183507919312]"
1549701817738394806,,[],0,"[100.00194549560547, 1.3728183507919312]"
1549701817738411008,,[],0,"[100.00194549560547, 1.3728183507919312]"
1549701817739238082,,[],0,"[100.00194549560547, 1.3728183507919312]"
1549701817739255100,,[],0,"[100.00194549560547, 1.3728183507919312]"
1549701817739261291,,[],0,"[100.04248046875, 1.3757301568984985]"
1549701817739268721,,[],0,"[100.04248046875, 1.372009515762329]"
1549701817739273179,,[],0,"[100.04248046875, 1.372009515762329]"
1549701817739284406,,[],0,"[100.04248046875, 1.3563182353973389]"
1549701817739289711,,[],0,"[100.04248046875, 1.3563182353973389]"
1549701817739296564,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739302155,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739310698,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739316897,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739321932,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739329075,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739336687,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739345490,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739354000,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739359501,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739364068,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739369513,,[],0,"[100.04248046875, 1.3569653034210205]"
1549701817739376847,,[],0,"[100.04248046875, 1.3645683526992798]"
1549701817742437694,,[],0,"[100.04248046875, 1.3492004871368408]"
1549701817742758231,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743036663,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743047062,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743051597,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743056074,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743059947,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743063953,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743081735,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743086022,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743089785,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743093348,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743098033,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743103294,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743107013,,[],0,"[100.04248046875, 1.3708772659301758]"
1549701817743263514,,[],0,"[100.04248046875, 1.366994857788086]"
1549701817743438335,,[],0,"[100.04248046875, 1.3627889156341553]"
1549701817743787797,,[],0,"[100.04248046875, 1.3627889156341553]"
1549701817743803079,,[],0,"[100.04248046875, 1.3627889156341553]"
1549701817743923055,,[],0,"[100.04248046875, 1.3590682744979858]"
1549701817744395646,,[],0,"[100.04248046875, 1.3590682744979858]"
1549701817744409338,,[],0,"[100.04248046875, 1.3553476333618164]"
1549701817744754829,,[],0,"[100.04248046875, 1.3553476333618164]"
1549701817744957136,,[],0,"[100.04248046875, 1.3553476333618164]"
1549701817745026983,,[],0,"[100.04248046875, 1.3553476333618164]"
1549701817745387372,,[],0,"[100.04248046875, 1.350494623184204]"
1549701817745397487,,[],0,"[100.04248046875, 1.3572888374328613]"
1549701817746111287,,[],0,"[100.16224670410156, 1.3572888374328613]"
1549701817746272434,,[],0,"[100.16224670410156, 1.347259283065796]"
1549701817746681508,,[],0,"[100.16224670410156, 1.347259283065796]"
1549701817746695600,,[],0,"[100.16224670410156, 1.347259283065796]"
1549701817746702033,,[],0,"[100.16224670410156, 1.3637595176696777]"
1549701817746736717,,[],0,"[100.16224670410156, 1.3703919649124146]"
1549701817746751276,,[],0,"[100.16224670410156, 1.3703919649124146]"
1549701817746757125,,[],0,"[100.16224670410156, 1.3637595176696777]"
1549701817747034436,,[],0,"[100.16224670410156, 1.3632742166519165]"
1549701817747099582,,[],0,"[100.16224670410156, 1.3632742166519165]"
1549701817747349838,,[],0,"[100.16224670410156, 1.3755683898925781]"
1549701817747960134,,[],0,"[100.16224670410156, 1.3755683898925781]"
1549701817748212105,,[],0,"[100.16224670410156, 1.3755683898925781]"
1549701817748326070,,[],0,"[100.16224670410156, 1.3755683898925781]"
1549701817748563737,,[],0,"[100.16224670410156, 1.3580976724624634]"
1549701817748970480,,[],0,"[100.16224670410156, 1.349685788154602]"
1549701817749479011,,[],0,"[100.16224670410156, 1.349685788154602]"
1549701817749738472,,[],0,"[100.16224670410156, 1.357935905456543]"
1549701817750068203,,[],0,"[100.16224670410156, 1.3621418476104736]"
1549701817750099890,,[],0,"[100.16224670410156, 1.3500093221664429]"
1549701817750107291,,[],0,"[100.16224670410156, 1.3500093221664429]"
1549701817750119494,,[],0,"[100.16224670410156, 1.3500093221664429]"
1549701817750137136,,[],0,"[100.16224670410156, 1.3500093221664429]"
1549701817750144348,,[],0,"[100.16224670410156, 1.3660242557525635]"
1549701817750505926,,[],0,"[100.16224670410156, 1.3660242557525635]"
1549701817750737576,,[],0,"[100.16224670410156, 1.3556711673736572]"
1549701817751212346,,[],0,"[100.16224670410156, 1.3545387983322144]"
