%time,field.layout.data_offset,field.data0,field.data1
1547109692573564835,0,98.79712677,0.221052631736
1547109692580121974,0,98.79712677,0.215789467096
1547109692586932071,0,98.9159545898,0.376315802336
1547109692593944646,0,98.79712677,0.376315802336
1547109692600477569,0,98.79712677,0.0157894734293
1547109692607037598,0,98.7567901611,-0.194736838341
1547109692613788769,0,98.79712677,-0.194736838341
1547109692620165227,0,98.79712677,0.160526320338
1547109692626911531,0,98.79712677,0.160526320338
1547109692633995789,0,98.79712677,0.0684210509062
1547109692640281202,0,98.79712677,0.0684210509062
1547109692646786156,0,98.79712677,0.0842105299234
1547109692656516294,0,98.7567901611,0.207894742489
1547109692660717372,0,98.79712677,0.586842119694
1547109692667044288,0,98.6380233765,0.586842119694
1547109692673720243,0,98.79712677,0.671052634716
1547109692680723179,0,98.79712677,0.457894742489
1547109692686912638,0,98.79712677,0.457894742489
1547109692694389618,0,98.79712677,0.257894724607
1547109692700722675,0,98.6782989502,0.257894724607
1547109692707112161,0,98.79712677,0.592105269432
1547109692714307694,0,98.5594787598,0.476315796375
1547109692720541577,0,98.9159545898,0.476315796375
1547109692726915254,0,98.79712677,0.544736862183
1547109692733818203,0,98.79712677,0.397368431091
1547109692740251958,0,98.79712677,0.397368431091
1547109692746719571,0,98.79712677,0.34999999404
1547109692754957371,0,98.79712677,0.34999999404
1547109692760612083,0,98.79712677,0.578947365284
1547109692767052050,0,98.6782989502,0.515789449215
1547109692773678330,0,98.6782989502,0.515789449215
1547109692780348586,0,98.79712677,0.50789475441
1547109692787566204,0,98.79712677,0.571052610874
1547109692793820669,0,98.79712677,0.571052610874
1547109692800459427,0,98.79712677,0.526315808296
1547109692807094693,0,98.7185821533,-0.00789473671466
1547109692813703845,0,98.79712677,-0.00789473671466
1547109692820355906,0,98.79712677,0.197368428111
1547109692827304633,0,98.79712677,0.197368428111
1547109692833635271,0,98.6782989502,0.263157904148
1547109692840601632,0,98.79712677,0.247368425131
1547109692846884547,0,98.79712677,0.247368425131
1547109692853550948,0,98.79712677,0.205263152719
1547109692860181971,0,98.79712677,0.205263152719
1547109692867411499,0,98.79712677,0.0289473682642
1547109692874081382,0,98.6782989502,-0.0210526324809
1547109692880660682,0,98.6782989502,-0.0210526324809
1547109692886982558,0,98.6782989502,0.244736835361
1547109692893543144,0,98.6782989502,0.226315796375
1547109692900504690,0,98.79712677,0.226315796375
1547109692906892520,0,98.79712677,0.463157892227
1547109692913741685,0,98.79712677,0.471052616835
1547109692920403248,0,98.7567901611,0.471052616835
1547109692927491403,0,98.79712677,0.44736841321
1547109692933779972,0,98.6782989502,0.355263143778
1547109692940461011,0,98.6782989502,0.355263143778
1547109692946971721,0,98.8374481201,0.339473694563
1547109692953737947,0,98.6782989502,0.339473694563
1547109692960422104,0,98.79712677,0.0631578937173
1547109692967323832,0,98.79712677,0.360526323318
1547109692973666719,0,98.79712677,0.360526323318
1547109692980827147,0,98.79712677,0.473684221506
1547109692987199179,0,98.79712677,0.473684221506
1547109692993812251,0,98.6782989502,0.344736844301
1547109693000225816,0,98.79712677,0.544736862183
1547109693006932015,0,98.79712677,0.544736862183
1547109693013656376,0,98.6782989502,0.426315784454
1547109693020378359,0,98.79712677,0.231578946114
1547109693027215697,0,98.79712677,0.231578946114
1547109693033739702,0,98.79712677,0.376315802336
1547109693040311530,0,98.79712677,0.289473682642
1547109693047253310,0,98.7567901611,0.289473682642
1547109693054135858,0,98.79712677,0.0263157896698
1547109693060325116,0,98.79712677,0.0263157896698
1547109693066836218,0,98.79712677,0.110526315868
1547109693073428311,0,98.79712677,0.160526320338
1547109693080825926,0,98.9159545898,0.160526320338
1547109693086923273,0,98.79712677,0.0842105299234
1547109693094070929,0,98.7567901611,0.0842105299234
1547109693100461278,0,98.6782989502,0.342105269432
1547109693106906279,0,98.79712677,0.660526335239
1547109693113606877,0,98.79712677,0.660526335239
1547109693120484696,0,98.79712677,0.478947371244
1547109693127185469,0,98.6782989502,0.0421052649617
1547109693134339951,0,98.6782989502,0.0421052649617
1547109693140629365,0,98.79712677,-0.113157898188
1547109693146914689,0,98.79712677,-0.0605263151228
1547109693153958126,0,98.79712677,-0.0605263151228
1547109693160259561,0,98.79712677,0.297368407249
1547109693167163045,0,98.79712677,0.297368407249
1547109693173530058,0,98.79712677,0.331578940153
1547109693180602492,0,98.79712677,0.634210526943
1547109693187431180,0,98.79712677,0.634210526943
1547109693193603314,0,98.6782989502,0.560526311398
1547109693200416888,0,98.6782989502,0.30263158679
1547109693206869574,0,98.79712677,0.30263158679
1547109693214055638,0,98.79712677,-0.0105263162404
1547109693220314543,0,98.79712677,0.165789470077
1547109693227208848,0,98.79712677,0.165789470077
1547109693233932527,0,98.79712677,0.20000000298
1547109693240459348,0,98.6782989502,0.20000000298
1547109693246908856,0,98.79712677,0.0236842110753
1547109693253593071,0,98.6782989502,0.0973684191704
1547109693260203690,0,98.6782989502,0.0973684191704
1547109693266969865,0,98.79712677,0.305263161659
1547109693273813406,0,98.79712677,0.0105263162404
1547109693280284188,0,98.9159545898,0.0105263162404
1547109693290432234,0,98.6782989502,0.107894733548
1547109693293664328,0,98.79712677,0.107894733548
1547109693300510574,0,98.79712677,0.181578949094
1547109693307063642,0,98.79712677,0.305263161659
1547109693313644129,0,98.9159545898,0.305263161659
1547109693320210780,0,98.79712677,0.342105269432
1547109693327139065,0,98.79712677,0.297368407249
1547109693334073895,0,98.6782989502,0.297368407249
1547109693340466992,0,98.79712677,-0.123684212565
1547109693347030426,0,98.79712677,-0.123684212565
1547109693353897530,0,98.79712677,0.0289473682642
1547109693360463250,0,98.79712677,0.45526316762
1547109693366875754,0,98.6782989502,0.45526316762
1547109693373626334,0,98.6782989502,0.189473688602
1547109693380781579,0,98.6782989502,0.29473683238
1547109693386990992,0,98.8374481201,0.29473683238
1547109693394068327,0,98.8374481201,0.284210532904
1547109693400761596,0,98.8374481201,0.29473683238
1547109693406986085,0,98.79712677,0.29473683238
