%time,field.layout.data_offset,field.data0,field.data1
1547109747691227456,0,99.0774688721,-0.573684215546
1547109747697771805,0,98.9967041016,-0.484210520983
1547109747704635051,0,99.0774688721,-0.463157892227
1547109747711191061,0,99.0370788574,-0.463157892227
1547109747717603668,0,99.0774688721,-0.457894742489
1547109747724649392,0,99.0774688721,-0.457894742489
1547109747730830556,0,99.0370788574,-0.642105281353
1547109747737669962,0,98.9967041016,-0.728947341442
1547109747744472339,0,99.0370788574,-0.728947341442
1547109747751255768,0,98.9584350586,-0.542105257511
1547109747757970856,0,98.9584350586,-0.365789473057
1547109747764297948,0,98.9584350586,-0.365789473057
1547109747771057802,0,99.0774688721,-0.436842113733
1547109747777792063,0,98.9181137085,-0.584210515022
1547109747784447502,0,99.0774688721,-0.584210515022
1547109747790867857,0,99.0370788574,-0.676315784454
1547109747797931966,0,99.0774688721,-0.676315784454
1547109747804225644,0,98.9181137085,-0.436842113733
1547109747811365549,0,99.0774688721,-0.5
1547109747817546999,0,99.0774688721,-0.5
1547109747824560367,0,99.0370788574,-0.860526323318
1547109747831620790,0,99.0370788574,-0.963157892227
1547109747837600223,0,99.0774688721,-0.963157892227
1547109747844313801,0,99.0774688721,-0.821052610874
1547109747851331337,0,99.0774688721,-0.623684227467
1547109747857693729,0,99.0370788574,-0.623684227467
1547109747864215278,0,98.9584350586,-0.542105257511
1547109747871751425,0,99.0370788574,-0.542105257511
1547109747877873762,0,99.0774688721,-0.207894742489
1547109747885723501,0,98.9181137085,-0.334210515022
1547109747891244796,0,99.0774688721,-0.334210515022
1547109747897580490,0,98.9181137085,-0.397368431091
1547109747904272173,0,99.0370788574,-0.792105257511
1547109747910835128,0,99.0370788574,-0.792105257511
1547109747917414635,0,99.0370788574,-0.699999988079
1547109747924657859,0,99.0370788574,-0.699999988079
1547109747931042689,0,99.0774688721,-1.03157889843
1547109747937646555,0,99.0774688721,-0.815789461136
1547109747944655372,0,99.0774688721,-0.815789461136
1547109747951366184,0,99.0774688721,-0.771052658558
1547109747957859496,0,99.1964874268,-0.426315784454
1547109747964647292,0,99.0774688721,-0.426315784454
1547109747971127022,0,98.9181137085,-0.468421041965
1547109747977471898,0,99.0370788574,-0.397368431091
1547109747984266780,0,99.0370788574,-0.397368431091
1547109747991114293,0,98.9181137085,-0.571052610874
1547109747997756063,0,98.9967041016,-0.571052610874
1547109748004401910,0,99.0774688721,-0.544736862183
1547109748011202039,0,99.0370788574,-0.494736850262
1547109748017522599,0,99.0370788574,-0.494736850262
1547109748024426486,0,99.0774688721,-0.634210526943
1547109748030787330,0,99.0370788574,-0.434210538864
1547109748037678292,0,98.9584350586,-0.434210538864
1547109748044511038,0,99.0774688721,-0.560526311398
1547109748053514559,0,99.0370788574,-0.560526311398
1547109748057729490,0,99.1964874268,-0.513157904148
1547109748064271076,0,99.0370788574,-0.668421030045
1547109748071003842,0,99.0370788574,-0.668421030045
1547109748077571010,0,99.0774688721,-0.576315760612
1547109748084301012,0,99.0774688721,-0.728947341442
1547109748090987683,0,98.9584350586,-0.728947341442
1547109748097398472,0,99.0774688721,-0.449999988079
1547109748104556078,0,99.0774688721,-0.476315796375
1547109748111460842,0,99.0370788574,-0.476315796375
1547109748117629910,0,98.9967041016,-0.407894730568
1547109748124457944,0,98.9967041016,-0.407894730568
1547109748131150934,0,99.0370788574,-0.747368395329
1547109748137455443,0,98.9181137085,-0.636842131615
1547109748144135327,0,99.0370788574,-0.636842131615
1547109748151319550,0,99.0774688721,-0.65263158083
1547109748157860518,0,99.1964874268,-0.573684215546
1547109748164442222,0,98.9584350586,-0.573684215546
1547109748170772826,0,99.0370788574,-0.163157895207
1547109748178105882,0,99.0774688721,-0.163157895207
1547109748184217117,0,99.1560592651,-0.365789473057
1547109748190789297,0,99.0774688721,-0.560526311398
1547109748197391373,0,99.0370788574,-0.560526311398
1547109748203986904,0,98.9584350586,-0.426315784454
1547109748211399609,0,98.9584350586,-0.394736856222
1547109748217654972,0,99.0370788574,-0.394736856222
1547109748224609167,0,98.9584350586,-0.40000000596
1547109748230870652,0,98.9584350586,-0.481578946114
1547109748237748484,0,99.0774688721,-0.481578946114
1547109748244357817,0,99.0370788574,-0.718421041965
1547109748250946290,0,99.0370788574,-0.718421041965
1547109748257781531,0,98.9584350586,-0.568421065807
1547109748264242445,0,98.9584350586,-0.407894730568
1547109748270818480,0,98.9181137085,-0.407894730568
1547109748278289099,0,98.9584350586,-0.189473688602
1547109748284658919,0,98.9181137085,-0.257894724607
1547109748291039104,0,98.9967041016,-0.257894724607
1547109748297664539,0,98.9584350586,-0.365789473057
