%time,field.layout.data_offset,field.data0,field.data1
1547109379589399669,0,99.3559799194,-0.676315784454
1547109379596178271,0,99.3964614868,-0.415789484978
1547109379602957504,0,99.236907959,-0.821052610874
1547109379609712204,0,99.27734375,-0.821052610874
1547109379616161816,0,99.317779541,-0.75
1547109379623007990,0,99.4750671387,-0.75
1547109379629611845,0,99.3559799194,-0.592105269432
1547109379636036897,0,99.3964614868,-0.378947377205
1547109379643309280,0,99.3559799194,-0.378947377205
1547109379649632766,0,99.3964614868,-0.663157880306
1547109379656366857,0,99.27734375,-0.826315760612
1547109379662757267,0,99.27734375,-0.826315760612
1547109379669368918,0,99.27734375,-0.776315808296
1547109379676123345,0,99.27734375,-0.844736814499
1547109379682575866,0,99.27734375,-0.844736814499
1547109379689542950,0,99.27734375,-1.03684210777
1547109379696106570,0,99.4369354248,-1.03684210777
1547109379703051889,0,99.3964614868,-0.865789473057
1547109379710016873,0,99.3964614868,-0.521052658558
1547109379716278090,0,99.3964614868,-0.521052658558
1547109379722762915,0,99.4369354248,-0.494736850262
1547109379729499341,0,99.236907959,-0.371052622795
1547109379736087524,0,99.4774169922,-0.371052622795
1547109379743172522,0,99.3964614868,-0.326315790415
1547109379749536019,0,99.27734375,-0.326315790415
1547109379756484171,0,99.3559799194,-0.692105233669
1547109379763069952,0,99.3964614868,-0.697368443012
1547109379769737831,0,99.3964614868,-0.697368443012
1547109379776047417,0,99.3964614868,-0.934210538864
1547109379783236941,0,99.4369354248,-0.663157880306
1547109379789384933,0,99.3559799194,-0.663157880306
1547109379796691473,0,99.3964614868,-0.715789496899
1547109379802937265,0,99.3964614868,-0.986842095852
1547109379809517202,0,99.3964614868,-0.986842095852
1547109379816374059,0,99.3559799194,-1.06578946114
1547109379822807861,0,99.3559799194,-1.06578946114
1547109379829701450,0,99.236907959,-1.24736845493
1547109379836177752,0,99.4369354248,-1.05789470673
1547109379842844735,0,99.4369354248,-1.05789470673
1547109379849425024,0,99.317779541,-0.828947365284
1547109379856583359,0,99.3964614868,-0.836842119694
1547109379862958385,0,99.3582000732,-0.836842119694
1547109379869351297,0,99.3964614868,-0.710526287556
1547109379876552221,0,99.27734375,-0.707894742489
1547109379882891119,0,99.3964614868,-0.707894742489
1547109379890046605,0,99.317779541,-0.928947389126
1547109379896757742,0,99.3559799194,-0.928947389126
1547109379902795512,0,99.27734375,-0.576315760612
1547109379909728699,0,99.27734375,-0.634210526943
1547109379916655347,0,99.317779541,-0.634210526943
1547109379922753255,0,99.4369354248,-0.655263185501
1547109379929771131,0,99.4369354248,-0.723684191704
1547109379936093931,0,99.4369354248,-0.723684191704
1547109379942805316,0,99.27734375,-1.0263158083
1547109379950026501,0,99.317779541,-1.0263158083
1547109379956618775,0,99.4369354248,-0.781578958035
1547109379962974627,0,99.3559799194,-0.707894742489
1547109379970010580,0,99.3559799194,-0.707894742489
1547109379976064662,0,99.3964614868,-0.905263185501
1547109379983344565,0,99.3964614868,-0.952631592751
1547109379989827373,0,99.3559799194,-0.952631592751
1547109379996177569,0,99.317779541,-0.610526323318
1547109380002858031,0,99.317779541,-0.763157904148
1547109380009453121,0,99.27734375,-0.763157904148
1547109380016414070,0,99.3964614868,-0.649999976158
1547109380022749492,0,99.3964614868,-0.649999976158
1547109380029669652,0,99.4369354248,-0.594736814499
1547109380036202314,0,99.3964614868,-0.642105281353
1547109380043056335,0,99.4369354248,-0.642105281353
1547109380049886752,0,99.317779541,-0.910526335239
1547109380056060706,0,99.3964614868,-0.971052646637
1547109380062704332,0,99.27734375,-0.971052646637
1547109380069315277,0,99.3964614868,-1.04210531712
1547109380076133582,0,99.236907959,-1.04210531712
1547109380082935907,0,76.4488449097,-0.931578934193
1547109380089539870,0,99.4369354248,-0.747368395329
1547109380096190663,0,99.3559799194,-0.747368395329
1547109380102635947,0,99.27734375,-1.0
1547109380109341705,0,99.27734375,-1.0
1547109380116159687,0,99.3559799194,-0.75
1547109380122924642,0,99.3964614868,-0.518421053886
1547109380129628810,0,99.3964614868,-0.818421065807
1547109380136370228,0,99.4369354248,-0.818421065807
1547109380142989788,0,99.4369354248,-0.928947389126
1547109380149530668,0,99.4369354248,-0.928947389126
1547109380156675615,0,99.4369354248,-0.760526299477
1547109380162960014,0,99.3964614868,-0.802631556988
1547109380169434699,0,99.27734375,-0.802631556988
1547109380176194946,0,99.3559799194,-0.876315772533
1547109380182917163,0,99.3964614868,-1.02368426323
1547109380191469323,0,99.4369354248,-1.02368426323
1547109380196746501,0,99.3964614868,-0.821052610874
1547109380202821563,0,99.27734375,-0.565789461136
