%time,field.layout.data_offset,field.data0,field.data1
1545732354565869543,0,99.3634185791,0.744736850262
1545732354572676002,0,99.322479248,0.665789484978
1545732354579435918,0,99.3634185791,0.665789484978
1545732354586213291,0,99.322479248,0.418421059847
1545732354592965669,0,99.322479248,0.418421059847
1545732354599393237,0,99.2047729492,0.221052631736
1545732354606166143,0,99.322479248,0.376315802336
1545732354612555883,0,99.2047729492,0.973684191704
1545732354619489292,0,99.2047729492,0.973684191704
1545732354626042873,0,99.322479248,0.755263149738
1545732354632895669,0,99.322479248,0.755263149738
1545732354639538373,0,99.0462188721,0.178947374225
1545732354646153241,0,99.0462188721,0.136842101812
1545732354652595770,0,99.2047729492,0.136842101812
1545732354659464065,0,99.2047729492,0.510526299477
1545732354666173365,0,99.2047729492,0.478947371244
1545732354672877192,0,99.2456588745,0.478947371244
1545732354679527945,0,99.2047729492,0.363157898188
1545732354686164385,0,99.2047729492,0.363157898188
1545732354692828051,0,99.2047729492,0.236842110753
1545732354699351497,0,99.2456588745,0.502631604671
1545732354706217000,0,99.2047729492,0.502631604671
1545732354712804346,0,99.3634185791,0.476315796375
1545732354719534575,0,99.322479248,0.476315796375
1545732354726140452,0,99.1638946533,0.689473688602
1545732354732825913,0,99.322479248,0.789473712444
1545732354739502288,0,99.322479248,0.836842119694
1545732354746186341,0,99.322479248,0.836842119694
1545732354752706932,0,99.2047729492,1.08947372437
1545732354759530603,0,99.0870513916,1.08947372437
1545732354766234379,0,99.0870513916,0.771052658558
1545732354772795561,0,99.0870513916,0.831578969955
1545732354779208371,0,99.322479248,0.831578969955
1545732354786135090,0,99.2456588745,0.957894742489
1545732354792881029,0,99.2047729492,0.944736838341
1545732354799519795,0,99.2047729492,0.944736838341
1545732354806156470,0,99.2456588745,0.736842095852
1545732354812859784,0,99.322479248,0.736842095852
1545732354819566040,0,99.322479248,0.744736850262
1545732354826126146,0,99.322479248,0.955263137817
1545732354832840094,0,99.2047729492,0.955263137817
1545732354839228121,0,99.322479248,0.75789475441
1545732354846082775,0,99.2456588745,0.75789475441
1545732354852768849,0,99.322479248,0.721052646637
1545732354859431873,0,99.2047729492,0.705263137817
1545732354866353349,0,99.2047729492,0.705263137817
1545732354872618360,0,99.322479248,0.465789467096
1545732354879118699,0,99.2047729492,0.713157892227
1545732354886197196,0,99.0870513916,0.713157892227
1545732354892872962,0,99.322479248,0.768421053886
1545732354899379877,0,99.2047729492,0.768421053886
1545732354906233359,0,99.2456588745,0.760526299477
1545732354912663556,0,99.322479248,0.481578946114
1545732354919354743,0,99.2047729492,0.481578946114
1545732354925727702,0,99.2047729492,0.571052610874
1545732354932321428,0,99.2047729492,0.523684203625
1545732354939188171,0,99.2865447998,0.523684203625
1545732354945934767,0,99.2047729492,0.694736838341
1545732354952787799,0,99.2456588745,0.471052616835
1545732354959219790,0,99.2047729492,0.471052616835
1545732354965815944,0,99.2047729492,0.465789467096
1545732354972755619,0,99.2456588745,0.465789467096
1545732354979493529,0,99.2047729492,0.649999976158
1545732354986103127,0,99.322479248,0.478947371244
1545732354992742709,0,99.322479248,0.478947371244
1545732354999245690,0,99.2047729492,0.594736814499
1545732355006071793,0,99.2047729492,0.568421065807
1545732355012746358,0,99.2047729492,0.568421065807
1545732355019508503,0,99.322479248,0.773684203625
1545732355026146034,0,99.322479248,0.642105281353
1545732355032887447,0,99.2047729492,0.642105281353
1545732355039479085,0,99.2047729492,0.84736841917
1545732355046149641,0,99.322479248,0.84736841917
1545732355052825168,0,99.322479248,0.989473700523
1545732355059396094,0,99.2047729492,1.0684210062
1545732355066193178,0,99.2047729492,1.0684210062
1545732355073002025,0,99.322479248,0.868421077728
1545732355079422256,0,99.322479248,0.949999988079
1545732355086188299,0,99.322479248,0.949999988079
1545732355093025219,0,99.322479248,0.821052610874
1545732355099489999,0,99.2047729492,0.821052610874
1545732355106148582,0,99.2456588745,0.781578958035
1545732355112575944,0,99.2456588745,0.776315808296
1545732355119434674,0,99.322479248,0.776315808296
1545732355126130795,0,99.2047729492,0.734210550785
1545732355132872609,0,99.322479248,0.881578922272
1545732355139518554,0,99.0870513916,0.881578922272
1545732355146154269,0,99.2047729492,1.05526316166
1545732355152734441,0,99.322479248,1.05526316166
1545732355159383059,0,99.322479248,1.08157896996
1545732355166032865,0,99.3634185791,0.871052622795
1545732355172728405,0,99.322479248,0.871052622795
1545732355179563146,0,99.2456588745,0.478947371244
1545732355186183982,0,99.2047729492,0.528947353363
1545732355192954080,0,99.2047729492,0.528947353363
1545732355199545895,0,99.2047729492,0.665789484978
1545732355206165966,0,99.2047729492,0.878947377205
1545732355212730415,0,99.2047729492,0.878947377205
1545732355219513831,0,99.322479248,0.844736814499
1545732355226115909,0,99.2456588745,0.578947365284
1545732355232977462,0,99.2456588745,0.578947365284
1545732355239276280,0,99.2456588745,0.834210515022
1545732355246174808,0,99.2047729492,0.834210515022
1545732355252647423,0,99.3634185791,0.944736838341
1545732355260070445,0,99.2047729492,1.01578950882
1545732355265980885,0,99.2047729492,1.01578950882
1545732355272624798,0,99.2047729492,0.694736838341
1545732355279712097,0,99.322479248,0.694736838341
1545732355286103889,0,99.2047729492,0.565789461136
1545732355292849553,0,99.2456588745,0.813157916069
1545732355299496377,0,99.322479248,0.813157916069
1545732355306165703,0,99.2456588745,0.705263137817
1545732355312681547,0,99.2047729492,0.40263158083
1545732355319508110,0,99.2047729492,0.40263158083
1545732355326153833,0,99.322479248,0.118421055377
1545732355332854004,0,99.322479248,0.378947377205
1545732355339419421,0,99.3634185791,0.378947377205
1545732355346151479,0,99.322479248,0.547368407249
1545732355352733647,0,99.2456588745,0.547368407249
1545732355359663768,0,99.322479248,0.594736814499
1545732355366144973,0,99.3634185791,0.665789484978
1545732355372769396,0,99.2047729492,0.665789484978
1545732355379377534,0,99.2047729492,0.473684221506
1545732355385774469,0,99.2456588745,0.515789449215
1545732355392774976,0,99.3634185791,0.515789449215
1545732355399242159,0,99.3634185791,0.807894766331
1545732355406029540,0,99.322479248,0.807894766331
1545732355412660325,0,99.322479248,0.715789496899
1545732355419325390,0,99.3634185791,0.571052610874
1545732355425935656,0,99.322479248,0.571052610874
1545732355432561785,0,99.2047729492,0.163157895207
1545732355439425950,0,99.1638946533,0.342105269432
1545732355446190354,0,99.2047729492,0.342105269432
1545732355452889241,0,99.322479248,0.428947359324
1545732355459531978,0,99.0870513916,0.428947359324
1545732355465883525,0,99.322479248,0.542105257511
1545732355472797403,0,99.322479248,0.339473694563
1545732355479502054,0,99.3634185791,0.339473694563
1545732355486165808,0,99.2456588745,0.25
1545732355492884870,0,99.322479248,0.292105257511
1545732355499510835,0,99.2047729492,0.292105257511
1545732355506111602,0,99.3634185791,0.928947389126
1545732355512782713,0,99.0870513916,0.928947389126
1545732355519389187,0,99.2047729492,0.897368431091
1545732355526221659,0,99.2047729492,1.07894742489
1545732355532905826,0,99.2047729492,1.07894742489
1545732355539406312,0,99.2047729492,0.89473682642
1545732355545937568,0,99.2047729492,0.592105269432
1545732355552727948,0,99.3634185791,0.592105269432
1545732355559767941,0,99.3634185791,0.310526311398
1545732355566194421,0,99.322479248,0.586842119694
1545732355572524912,0,99.2047729492,0.586842119694
1545732355579395849,0,99.2456588745,0.615789473057
1545732355586125710,0,99.2047729492,0.615789473057
1545732355592722747,0,99.322479248,0.423684209585
1545732355599316007,0,99.322479248,0.563157916069
1545732355606143600,0,99.0870513916,0.563157916069
1545732355612821812,0,99.2456588745,0.297368407249
1545732355619209178,0,99.2047729492,-0.0473684221506
1545732355626057461,0,99.3634185791,-0.0473684221506
1545732355632872142,0,99.322479248,-0.339473694563
1545732355639531042,0,99.2047729492,-0.339473694563
1545732355646183142,0,99.2456588745,-0.589473664761
1545732355652827338,0,99.2456588745,-0.736842095852
1545732355659521140,0,99.2047729492,-0.736842095852
1545732355666061937,0,99.2047729492,-0.368421047926
1545732355672579460,0,99.2047729492,0.0315789468586
1545732355679479629,0,99.2047729492,0.0315789468586
1545732355686070975,0,99.2047729492,-0.0289473682642
1545732355692606396,0,99.2047729492,-0.273684203625
1545732355699518449,0,99.322479248,-0.273684203625
1545732355706233266,0,99.322479248,-0.178947374225
1545732355712909927,0,99.322479248,-0.178947374225
1545732355719719553,0,99.2047729492,-0.589473664761
1545732355726037867,0,99.322479248,-0.30263158679
1545732355732608299,0,99.2047729492,-0.30263158679
1545732355739444454,0,99.322479248,-0.039473682642
1545732355746218956,0,99.2047729492,0.168421059847
1545732355752833740,0,99.322479248,0.168421059847
1545732355759229576,0,99.3634185791,0.634210526943
1545732355766314269,0,99.2047729492,0.634210526943
1545732355772848229,0,99.2047729492,0.592105269432
1545732355779225023,0,99.2865447998,0.713157892227
1545732355786125789,0,99.2047729492,0.713157892227
1545732355792730100,0,99.322479248,0.726315796375
1545732355799543044,0,99.2047729492,0.560526311398
1545732355806177874,0,99.2047729492,0.560526311398
1545732355812858601,0,99.2047729492,0.0736842080951
1545732355819498227,0,99.322479248,-0.065789476037
1545732355826111073,0,99.2047729492,-0.065789476037
1545732355832900937,0,99.2047729492,0.113157898188
1545732355839594187,0,99.2047729492,0.113157898188
1545732355846260317,0,99.2047729492,0.489473670721
1545732355852591739,0,99.2456588745,0.660526335239
1545732355859078934,0,99.2047729492,0.660526335239
1545732355866091234,0,99.2047729492,0.607894718647
1545732355872466463,0,99.2456588745,0.357894748449
1545732355879104357,0,99.3634185791,0.357894748449
1545732355886119125,0,99.3634185791,0.105263158679
1545732355892736570,0,99.4043579102,0.115789473057
1545732355899356888,0,99.2047729492,0.115789473057
1545732355906220538,0,99.2047729492,-0.0421052649617
1545732355912751289,0,99.322479248,-0.0421052649617
1545732355919537804,0,99.2047729492,0.107894733548
1545732355925871590,0,99.2047729492,-0.115789473057
1545732355932562820,0,99.322479248,-0.115789473057
1545732355939461569,0,99.322479248,0.184210523963
1545732355946052976,0,99.2456588745,-0.244736835361
1545732355953256673,0,99.2047729492,-0.244736835361
1545732355959330231,0,99.322479248,-0.0315789468586
1545732355966144134,0,99.322479248,-0.0315789468586
1545732355972902218,0,99.2815551758,0.102631576359
1545732355979533083,0,99.2047729492,0.115789473057
1545732355986023164,0,99.322479248,0.115789473057
1545732355992863718,0,99.322479248,-0.105263158679
1545732355999405550,0,99.322479248,-0.252631574869
1545732356006195957,0,99.322479248,-0.252631574869
1545732356012840998,0,99.2047729492,-0.331578940153
1545732356019439073,0,99.322479248,-0.452631592751
1545732356026052868,0,99.322479248,-0.452631592751
1545732356032965544,0,99.322479248,-0.442105263472
1545732356039265149,0,99.2047729492,-0.442105263472
1545732356046033168,0,99.3634185791,-0.300000011921
1545732356052700851,0,99.3634185791,-0.352631568909
1545732356059439247,0,99.2047729492,-0.352631568909
1545732356066182444,0,99.3634185791,-0.207894742489
1545732356072653324,0,99.322479248,-0.173684209585
1545732356079398721,0,99.322479248,-0.173684209585
1545732356086089924,0,99.2047729492,-0.328947365284
1545732356092714962,0,99.322479248,-1.91315793991
1545732356099558517,0,99.2047729492,-1.91315793991
1545732356106222590,0,99.2456588745,-4.02368402481
1545732356112832180,0,99.3634185791,-4.02368402481
1545732356119272264,0,99.2047729492,-5.90526294708
1545732356125987091,0,99.2047729492,-6.78684186935
1545732356132989511,0,99.2047729492,-6.78684186935
1545732356139402275,0,99.2456588745,-7.94999980927
1545732356146210627,0,99.2047729492,-9.01315784454
1545732356152732250,0,99.3634185791,-9.01315784454
1545732356159277977,0,99.322479248,-9.78421020508
1545732356165820645,0,99.2047729492,-9.78421020508
1545732356172805549,0,99.4402008057,-10.9868421555
1545732356179576386,0,99.2047729492,-12.2078943253
1545732356186243404,0,99.4811859131,-12.2078943253
1545732356192862908,0,99.322479248,-13.7473688126
1545732356199554360,0,99.4811859131,-15.2447366714
1545732356206203779,0,99.4402008057,-15.2447366714
1545732356212874906,0,99.4811859131,-16.8815784454
1545732356219485498,0,99.4811859131,-18.0921058655
1545732356226202855,0,99.4811859131,-18.0921058655
1545732356232869018,0,99.4811859131,-18.7026309967
1545732356239520792,0,99.4811859131,-18.7026309967
1545732356245878808,0,99.4402008057,-19.773683548
1545732356252497401,0,99.4402008057,-22.1763153076
1545732356259427088,0,99.4811859131,-22.1763153076
1545732356265874324,0,99.5579223633,-25.0342102051
